"Gene",WT1,WT2,WT3,WT4,MT1,MT2,MT3,MT4
"Igfbp4",28,41,11,32,324,435,610,186
"Igfbp7",92,72,81,75,12,1,6,5
"Sorcs1",1,1,1,1,391,306,226,252
"Tspan2",1252,618,479,900,232,124,91,182
"Tspan6",6716,10200,13680,7652,8699,6574,6900,3746
"Tspan7",895,935,974,1045,289,166,263,139
"Tspan8",1,2,4,3,9317,8604,4744,2763
"Tspan9",248,152,86,181,65,23,42,34
"Tspan13",783,225,908,524,175,173,373,201
"Tspan31",1979,3450,3111,1555,1144,1005,1238,598
"Apoe",123,69,57,94,9,2,15,5
"Vldlr",2120,2104,2439,2336,1,2,1,1
"Vegfa",174,190,127,136,166,191,174,148
"Vegfb",49,44,54,25,48,57,39,45
"Vegfc",230,325,348,339,490,472,440,207
"Flt4",21,6,4,7,28,15,33,36
"Flt1",160,136,95,125,1,2,4,1
"Lrp4",145,183,117,126,81,89,82,68
"Lrp5",4,11,9,5,94,39,84,94
"Lrp6",77,95,39,47,196,125,164,247
"Lrp11",146,113,100,109,184,353,221,212
"Lrp12",589,325,436,426,252,151,145,305
"Tlr2",3,3,3,3,180,150,128,34
"Tlr4",1,1,3,1,47,92,5,18
"RT1-M3-1",80,47,58,76,142,129,113,108
"RT1-CE15",7,5,10,10,39,18,23,14
"RT1-N3",311,331,259,181,600,451,582,263
"RT1-S3",57,111,90,29,342,189,147,69
"RT1-Db1",15,9,14,12,38,28,31,26
"RT1-CE14",54,47,56,33,150,85,83,63
"RT1-CE5",138,224,147,136,435,286,288,190
"RT1-A2",705,658,615,623,1805,935,1082,788
"RT1-A1",560,598,529,510,1490,990,845,688
